id,empresa_id,sector_id,codigo,nombre,descripcion,unidad,tipo_acumulacion,mayor_es_mejor,activo,created_at,updated_at
2,1,1,1,RECHAZOS,"RECHAZOS EN HL",%,promedio,1,1,"2026-04-20 11:52:59","2026-04-20 15:04:29"
4,1,1,2,"DISPERSION EN KM",FOXTROT,KM,promedio,1,1,"2026-04-20 14:38:20","2026-04-20 15:04:52"
5,1,1,3,"DISPERSION EN TIEMPO",FOXTROT,HS,promedio,1,1,"2026-04-20 14:38:49","2026-04-20 15:04:59"
6,1,1,4,"ADHERENCIA AL CLICK",FOXTROT,%,promedio,1,1,"2026-04-20 14:39:43","2026-04-20 15:04:44"
7,1,1,5,DQI,"ROTURA EN REPARTO",PPM,promedio,1,1,"2026-04-20 14:40:10","2026-04-20 14:41:30"
8,1,1,6,TML,"TIEMPO MEDIO DE LIBERACION",MIN,promedio,1,1,"2026-04-20 14:40:34","2026-04-20 14:44:05"
9,1,1,7,TI,"TIEMPO INTERNO",MIN,promedio,1,1,"2026-04-20 14:40:54","2026-04-20 14:43:49"
10,1,1,RMD,RMD,"RATE MY DELIVERY",%,promedio,1,1,"2026-04-20 14:41:22","2026-04-20 14:43:58"
11,1,1,8,"NPS GRAL","NPS GENERAL",%,promedio,1,1,"2026-04-20 14:42:03","2026-04-20 14:44:13"
12,1,1,9,"NPS SUBDRIVER DELIVERY","NPS ENTREGA",%,promedio,1,1,"2026-04-20 14:43:38","2026-04-20 14:44:19"
13,1,2,1,"PRODUCTIVIDAD PICKING",NULL,BTOS/HS,promedio,1,1,"2026-04-20 17:29:27","2026-04-20 17:29:27"
14,1,2,2,"CLASIFICACION DE VACIOS","PRODUCTIVIDAD CLASIFICACION DE VACIOS",PALLETS/HS,promedio,1,1,"2026-04-20 17:30:16","2026-04-20 17:30:16"
15,1,2,3,WQI,"ROTURA EN ALMACEN",PPM,promedio,1,1,"2026-04-20 17:30:46","2026-04-20 17:30:46"
16,1,2,4,"ERRORES DE PICKING","ERRORES DE PICKING",BULTOS,promedio,1,1,"2026-04-20 17:31:29","2026-04-20 17:31:29"
17,1,2,5,DDI,"DIFERENCIA DE INVENTARIO",PPM,promedio,1,1,"2026-04-20 17:31:58","2026-04-20 17:31:58"
18,1,2,6,FNP,"PRODUCTIVIDAD DE AUTO ELEVADOR",HL/HS,promedio,1,1,"2026-04-20 17:33:34","2026-04-20 17:33:34"
21,1,4,11,AUSENTISMO,NULL,%,promedio,0,1,"2026-05-13 14:45:51","2026-05-13 14:45:51"
